prefix-0 | model-0 | manufactor-0 | EMPTY_COMPANY | 0
prefix-1 | model-1 | manufactor-1 | EMPTY_COMPANY | 0
prefix-2 | model-2 | manufactor-2 | EMPTY_COMPANY | 0
prefix-3 | model-3 | manufactor-3 | EMPTY_COMPANY | 0
prefix-4 | model-4 | manufactor-4 | EMPTY_COMPANY | 0
prefix-0 | model-0 | manufactor-0 | EMPTY_COMPANY | 0
prefix-1 | model-1 | manufactor-1 | EMPTY_COMPANY | 0
prefix-2 | model-2 | manufactor-2 | EMPTY_COMPANY | 0
prefix-3 | model-3 | manufactor-3 | EMPTY_COMPANY | 0
prefix-4 | model-4 | manufactor-4 | EMPTY_COMPANY | 0
prefix-0 | model-0 | manufactor-0 | EMPTY_COMPANY | 0
prefix-1 | model-1 | manufactor-1 | EMPTY_COMPANY | 0
prefix-2 | model-2 | manufactor-2 | EMPTY_COMPANY | 0
prefix-3 | model-3 | manufactor-3 | EMPTY_COMPANY | 0
prefix-4 | model-4 | manufactor-4 | EMPTY_COMPANY | 0
prefix-0 | model-0 | manufactor-0 | EMPTY_COMPANY | 0
prefix-1 | model-1 | manufactor-1 | EMPTY_COMPANY | 0
prefix-2 | model-2 | manufactor-2 | EMPTY_COMPANY | 0
prefix-3 | model-3 | manufactor-3 | EMPTY_COMPANY | 0
prefix-4 | model-4 | manufactor-4 | EMPTY_COMPANY | 0
prefix-0 | model-0 | manufactor-0 | EMPTY_COMPANY | 0
prefix-1 | model-1 | manufactor-1 | EMPTY_COMPANY | 0
prefix-2 | model-2 | manufactor-2 | EMPTY_COMPANY | 0
prefix-3 | model-3 | manufactor-3 | EMPTY_COMPANY | 0
prefix-4 | model-4 | manufactor-4 | EMPTY_COMPANY | 0
